Id;Num;type;category;border_venc;venchik;Razmer_X;Razmer_Y;Diametr;visota;Sten1;Sten2;made;cover_procc;cover_color;ornament;fire;нагар
64;Е21-Пу28/1355;цветочный горшок;;округлый; отогнутый;31;31;31;20;0.5;1.5;круг;глазурь;зеленый;желобок;окислительный;0
15;Е21-Пу28/231;н/о;;округлый; прямой;10.5;10.5;10.5;4.5;;;ручная;нет;серо-коричневый;желобки;восстановительный;1
1;Е21-Пу28/301;соусник;столовая посуда;округлый; отогнутый;10.2;10.2;10.2;8.5;0.3;0.6;круг;есть;прозрачный;желобок;окислительный;0
2;Е21-Пу28/302;цветочный горшок;бытовая посуда;уплощенный; отогнутый;22;22;22;18;0.7;1.5;круг;нет;нет;валик;восстановительный;0
3;Е21-Пу28/303;кринка;кухонная посуда;уплощенный; отогнутый;12.5;12.5;12.5;16.8;0.5;1;круг;есть;зеленый;желобок;восстановительный;0
4;Е21-Пу28/304;горшок;кухонная посуда;уплощенный; отогнутый;12.7;12.7;12.7;14;0.5;0.8;круг;есть;коричневый;желобок;окислительный;0
5;Е21-Пу28/305;горшок;кухонная посуда;уплощенный; отогнутый;13;13;13;15.8;0.5;0.9;круг;есть;зеленый;желобок;окислительный;0
6;Е21-Пу28/306;горшок;кухонная посуда;уплощенный; отогнутый;11;11;11;12;0.3;1;круг;есть;зеленый;желобок;окислительный;0
7;Е21-Пу28/307;стакан;бытовая посуда;заостренный; прямой;11.4;11.4;11.4;11.6;0.4;1;круг;есть;прозрачный;желобок;окислительный;0
8;Е21-Пу28/308;горшок;кухонная посуда;уплощенный; отогнутый;15.6;15.6;15.6;16;0.4;1;круг;есть;зеленый;желобки;окислительный;0
9;Е21-Пу28/309;горшок;кухонная посуда;уплощенный; отогнутый;16.5;16.5;16.5;13.7;0.4;1.3;круг;есть;черная;желобок;окислительный;0
10;Е21-Пу28/310;цветочный горшок;бытовая посуда;волнообразный; отогнутый;17.2;17.2;17.2;12;0.2;1;круг;есть;прозрачный;желобок и канелюры;окислительный;0
11;Е21-Пу28/311;латка;кухонная посуда;округлый; отогнутый;22;29.5;25.5;8.2;8.2;8.2;круг;есть;прозрачный;желобки;окислительный;1
12;Е21-Пу28/312;горшок;кухонная посуда;округлый; отогнутый;10.4;10.4;10.4;11.8;0.4;1;круг;есть;зеленый;валик;окислительный;0
13;Е21-Пу28/313;горшок;кухонная посуда;уплощенный; отогнутый;15;15;15;18;0.4;1.5;круг;есть;зеленый;желобок;окислительный;0
61;Е21-Пу28/314;горшок;;округлый; отогнутый;16;16;16;19;0.3;0.7;круг;глазурь;зеленый;желобки;окислительный;0
57;Е21-Пу28/315;цветочный горшок;;округлый; прямой;15.5;15.5;15.5;15;0.4;0.8;круг;нет;коричневый;нет;окислительный;0
62;Е21-Пу28/316;горшок;;уплощенный; отогнутый;17.5;17.5;17.5;19;0.6;1.2;круг;глазурь;зеленый;желобок;окислительный;0
